defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost
408,45,Structural,6/24/24,Internal,Minor,Visual Inspection,375.28
409,46,Functional,3/5/24,Surface,Minor,Automated Testing,474.48
410,5,Cosmetic,3/13/24,Surface,Moderate,Visual Inspection,636.39
411,86,Functional,2/28/24,Component,Minor,Visual Inspection,957.36
412,97,Functional,2/2/24,Internal,Minor,Automated Testing,66.98
413,20,Structural,4/5/24,Internal,Minor,Visual Inspection,608.64
414,36,Structural,2/4/24,Component,Moderate,Automated Testing,75.93
415,7,Structural,6/12/24,Component,Critical,Automated Testing,477.58
416,53,Cosmetic,5/17/24,Component,Moderate,Automated Testing,252.11
417,37,Cosmetic,4/16/24,Component,Critical,Visual Inspection,987.71
418,81,Functional,3/23/24,Internal,Moderate,Manual Testing,464.04
419,61,Functional,2/13/24,Component,Minor,Visual Inspection,694.29
420,56,Structural,4/20/24,Surface,Critical,Automated Testing,829.49
421,79,Functional,1/9/24,Internal,Minor,Visual Inspection,466.04
422,12,Functional,4/11/24,Internal,Moderate,Manual Testing,101.05
423,66,Cosmetic,1/4/24,Internal,Critical,Automated Testing,748.29
424,27,Structural,3/27/24,Component,Moderate,Visual Inspection,438.54
425,88,Functional,2/25/24,Component,Moderate,Visual Inspection,834.57
426,62,Functional,5/23/24,Internal,Critical,Manual Testing,655.02
427,10,Structural,3/22/24,Surface,Critical,Manual Testing,342.61
428,61,Structural,3/26/24,Internal,Critical,Visual Inspection,539.5
429,15,Functional,6/19/24,Component,Moderate,Visual Inspection,487.41
430,72,Structural,6/27/24,Surface,Minor,Automated Testing,212.86
431,77,Functional,5/13/24,Surface,Critical,Visual Inspection,873.59
432,56,Cosmetic,2/25/24,Surface,Moderate,Automated Testing,389.21
433,18,Cosmetic,5/3/24,Component,Minor,Automated Testing,34.48
434,42,Functional,5/12/24,Surface,Minor,Manual Testing,235.97
435,41,Structural,4/8/24,Surface,Moderate,Visual Inspection,575.15
436,44,Structural,6/18/24,Surface,Minor,Visual Inspection,182.54
437,82,Cosmetic,5/6/24,Component,Minor,Automated Testing,752.8
438,39,Functional,1/12/24,Component,Critical,Visual Inspection,214.33
439,63,Functional,3/13/24,Surface,Moderate,Visual Inspection,716.26
440,78,Structural,3/3/24,Surface,Critical,Visual Inspection,608.46
441,92,Structural,6/18/24,Internal,Moderate,Automated Testing,255.47
442,92,Structural,2/6/24,Component,Minor,Manual Testing,914.32
443,16,Cosmetic,6/25/24,Internal,Critical,Automated Testing,519.15
444,63,Functional,2/8/24,Internal,Moderate,Manual Testing,816.09
445,65,Functional,3/23/24,Component,Minor,Manual Testing,481.11
446,60,Cosmetic,1/20/24,Component,Moderate,Automated Testing,780.05
447,58,Structural,1/9/24,Internal,Minor,Automated Testing,750.51
448,69,Functional,5/10/24,Component,Moderate,Manual Testing,908.59
449,7,Functional,3/10/24,Component,Moderate,Visual Inspection,705.47
450,80,Functional,4/23/24,Internal,Minor,Automated Testing,406.28
451,55,Functional,1/2/24,Internal,Critical,Manual Testing,295.41
452,6,Structural,3/4/24,Internal,Critical,Visual Inspection,903.36
453,86,Structural,5/17/24,Component,Moderate,Manual Testing,803.65
454,70,Functional,3/30/24,Component,Moderate,Automated Testing,359.69
455,50,Structural,3/30/24,Component,Moderate,Manual Testing,699.69
456,20,Structural,4/5/24,Surface,Critical,Manual Testing,281.81
457,63,Structural,4/11/24,Surface,Minor,Automated Testing,896.04
458,66,Functional,4/23/24,Internal,Moderate,Visual Inspection,587.69
459,64,Functional,2/26/24,Component,Moderate,Automated Testing,623.52
460,66,Structural,6/11/24,Component,Minor,Visual Inspection,668.05
461,95,Functional,3/2/24,Internal,Minor,Visual Inspection,571.02
462,56,Structural,2/18/24,Internal,Minor,Manual Testing,918.39
463,75,Functional,3/15/24,Surface,Minor,Automated Testing,669.62
464,81,Functional,1/27/24,Component,Moderate,Visual Inspection,581.01
465,39,Structural,5/20/24,Internal,Minor,Manual Testing,899.45
466,57,Cosmetic,1/5/24,Surface,Critical,Visual Inspection,764.59
467,83,Cosmetic,2/28/24,Internal,Moderate,Automated Testing,150.16
468,98,Functional,3/26/24,Internal,Minor,Visual Inspection,791.72
469,90,Functional,4/28/24,Surface,Moderate,Manual Testing,15.1
470,76,Structural,2/22/24,Component,Minor,Visual Inspection,466.92
471,89,Cosmetic,3/24/24,Internal,Minor,Manual Testing,833.02
472,43,Functional,3/24/24,Internal,Critical,Visual Inspection,907.98
473,38,Structural,2/25/24,Internal,Minor,Manual Testing,652.85
474,62,Cosmetic,2/4/24,Component,Moderate,Automated Testing,618.88
475,97,Cosmetic,3/16/24,Surface,Moderate,Manual Testing,140.36
476,86,Cosmetic,2/1/24,Internal,Critical,Visual Inspection,683.68
477,38,Functional,2/23/24,Component,Critical,Visual Inspection,613.47
478,58,Functional,1/18/24,Surface,Moderate,Visual Inspection,895.11
479,32,Cosmetic,6/7/24,Component,Critical,Visual Inspection,515.94
480,78,Functional,1/7/24,Internal,Minor,Automated Testing,293.09
481,66,Cosmetic,6/2/24,Surface,Critical,Automated Testing,689.42
482,68,Structural,6/16/24,Surface,Critical,Visual Inspection,148.53
483,10,Structural,2/17/24,Component,Moderate,Visual Inspection,933.3
484,77,Cosmetic,2/10/24,Internal,Minor,Manual Testing,336.75
485,50,Structural,2/29/24,Surface,Minor,Manual Testing,223.73
486,97,Cosmetic,3/29/24,Internal,Critical,Automated Testing,236.47
487,26,Cosmetic,3/13/24,Internal,Critical,Manual Testing,647.11
488,51,Cosmetic,4/4/24,Surface,Minor,Automated Testing,268.57
489,57,Cosmetic,5/10/24,Internal,Minor,Visual Inspection,405.89
490,12,Functional,3/11/24,Internal,Minor,Manual Testing,643.98
491,90,Functional,2/19/24,Internal,Critical,Manual Testing,183.11
492,79,Functional,4/21/24,Component,Moderate,Visual Inspection,878.64
493,58,Functional,6/9/24,Component,Critical,Manual Testing,702.09
494,31,Structural,3/1/24,Internal,Critical,Visual Inspection,823.59
495,49,Structural,1/28/24,Surface,Moderate,Automated Testing,294.56
496,6,Functional,1/16/24,Internal,Critical,Visual Inspection,533.14
497,49,Functional,3/28/24,Component,Critical,Visual Inspection,975.5
498,87,Cosmetic,6/17/24,Internal,Moderate,Visual Inspection,707.21
499,60,Cosmetic,4/1/24,Surface,Moderate,Visual Inspection,775.91
500,100,Functional,4/19/24,Surface,Moderate,Manual Testing,617.36
501,46,Structural,1/13/24,Surface,Minor,Visual Inspection,922.52
502,62,Structural,4/26/24,Surface,Minor,Automated Testing,81.91
503,91,Cosmetic,6/13/24,Surface,Critical,Manual Testing,40.19
504,74,Cosmetic,5/26/24,Internal,Moderate,Manual Testing,943.79
505,92,Structural,4/11/24,Surface,Minor,Visual Inspection,411.9
506,66,Structural,5/5/24,Internal,Critical,Visual Inspection,759.53
507,81,Cosmetic,1/15/24,Component,Critical,Manual Testing,368.11
508,41,Functional,4/4/24,Surface,Moderate,Visual Inspection,27.9
509,91,Structural,4/21/24,Internal,Critical,Automated Testing,670.09
510,35,Functional,5/24/24,Internal,Critical,Automated Testing,790.76
511,12,Cosmetic,6/20/24,Internal,Moderate,Manual Testing,769.88
512,77,Cosmetic,5/6/24,Internal,Critical,Automated Testing,262.6
513,11,Cosmetic,3/23/24,Surface,Moderate,Visual Inspection,520.44
514,93,Structural,5/19/24,Component,Minor,Visual Inspection,624.75
515,3,Structural,3/22/24,Internal,Moderate,Manual Testing,496.27
516,43,Functional,6/20/24,Component,Moderate,Automated Testing,368.54
517,88,Cosmetic,6/12/24,Internal,Moderate,Manual Testing,942.94
518,4,Cosmetic,3/28/24,Internal,Critical,Automated Testing,449.63
519,96,Functional,6/18/24,Internal,Critical,Manual Testing,117.82
520,75,Functional,5/12/24,Internal,Critical,Visual Inspection,300.05
521,86,Structural,1/7/24,Surface,Critical,Visual Inspection,975.1
522,70,Structural,1/13/24,Surface,Critical,Manual Testing,74.36
523,6,Functional,1/8/24,Component,Moderate,Automated Testing,924.05
524,14,Cosmetic,2/10/24,Surface,Minor,Visual Inspection,132.39
525,77,Functional,2/24/24,Surface,Critical,Manual Testing,893.77
526,65,Structural,2/10/24,Surface,Minor,Manual Testing,142.64
527,70,Structural,4/19/24,Component,Minor,Manual Testing,368.94
528,8,Functional,6/10/24,Internal,Minor,Automated Testing,997.03
529,54,Structural,1/2/24,Surface,Minor,Manual Testing,496.1
530,98,Functional,2/2/24,Surface,Critical,Automated Testing,798.12
531,82,Cosmetic,2/8/24,Internal,Critical,Visual Inspection,572.74
532,6,Structural,2/10/24,Surface,Critical,Manual Testing,53.77
533,49,Cosmetic,4/3/24,Surface,Minor,Visual Inspection,369.83
534,14,Cosmetic,4/11/24,Surface,Minor,Visual Inspection,398.17
535,88,Structural,3/21/24,Internal,Critical,Automated Testing,825.57
536,8,Functional,5/13/24,Internal,Critical,Automated Testing,201.88
537,91,Cosmetic,6/13/24,Component,Critical,Visual Inspection,47.47
538,1,Structural,5/11/24,Component,Moderate,Automated Testing,856.33
539,15,Cosmetic,5/12/24,Internal,Moderate,Manual Testing,497.65
540,20,Cosmetic,2/14/24,Internal,Minor,Manual Testing,908.53
541,16,Cosmetic,4/29/24,Component,Critical,Manual Testing,371.88
542,49,Functional,6/25/24,Surface,Moderate,Manual Testing,960.15
543,76,Structural,3/18/24,Component,Minor,Visual Inspection,73.55
544,56,Cosmetic,1/12/24,Component,Minor,Automated Testing,615.43
545,21,Structural,6/17/24,Component,Minor,Visual Inspection,619.02
546,17,Functional,1/15/24,Component,Minor,Manual Testing,677.64
547,10,Cosmetic,2/25/24,Surface,Moderate,Visual Inspection,684.16
548,90,Functional,3/26/24,Internal,Critical,Automated Testing,536.37
549,8,Cosmetic,1/22/24,Surface,Minor,Visual Inspection,47.22
550,27,Structural,5/26/24,Surface,Minor,Automated Testing,704.44
551,87,Functional,4/15/24,Surface,Minor,Automated Testing,512.02
552,93,Structural,6/4/24,Component,Minor,Automated Testing,36.04
553,12,Functional,1/10/24,Surface,Critical,Manual Testing,811.65
554,30,Functional,1/28/24,Internal,Critical,Automated Testing,900.37
555,4,Functional,3/6/24,Component,Minor,Automated Testing,644.51
556,71,Functional,2/11/24,Surface,Minor,Visual Inspection,355.85
557,97,Functional,3/3/24,Internal,Minor,Manual Testing,945.18
558,12,Structural,4/13/24,Internal,Minor,Visual Inspection,201.79
559,17,Cosmetic,2/26/24,Internal,Minor,Manual Testing,73
560,94,Cosmetic,1/9/24,Surface,Moderate,Manual Testing,769.57
561,45,Functional,3/27/24,Surface,Moderate,Automated Testing,930.11
562,72,Cosmetic,1/15/24,Internal,Moderate,Manual Testing,554.98
563,56,Functional,2/13/24,Component,Minor,Automated Testing,826.59
564,93,Functional,2/18/24,Surface,Critical,Manual Testing,362.82
565,58,Structural,1/15/24,Surface,Minor,Manual Testing,946.8
566,96,Cosmetic,2/17/24,Internal,Minor,Automated Testing,192.28
567,38,Functional,4/4/24,Internal,Critical,Automated Testing,383.41
568,62,Structural,3/19/24,Surface,Minor,Automated Testing,132.83
569,97,Functional,5/14/24,Component,Critical,Automated Testing,904.32
570,12,Cosmetic,3/22/24,Internal,Critical,Visual Inspection,944.63
571,47,Functional,4/19/24,Surface,Critical,Manual Testing,524.5
572,73,Structural,2/17/24,Internal,Critical,Visual Inspection,976.75
573,46,Cosmetic,2/27/24,Internal,Critical,Visual Inspection,508.94
574,5,Functional,1/21/24,Component,Critical,Visual Inspection,565.86
575,72,Functional,3/7/24,Component,Minor,Visual Inspection,151.62
576,99,Structural,4/10/24,Surface,Critical,Automated Testing,394.88
577,1,Functional,4/21/24,Surface,Critical,Visual Inspection,404.22
578,26,Structural,6/9/24,Component,Minor,Visual Inspection,564.82
579,100,Structural,4/12/24,Internal,Minor,Manual Testing,722.21
580,15,Structural,3/4/24,Internal,Moderate,Visual Inspection,16.05
581,9,Functional,6/20/24,Internal,Moderate,Manual Testing,666.31
582,80,Cosmetic,6/8/24,Component,Moderate,Automated Testing,346.73
583,86,Structural,6/29/24,Internal,Moderate,Automated Testing,138.42
584,42,Structural,6/29/24,Component,Minor,Visual Inspection,663.53
585,19,Structural,6/1/24,Surface,Critical,Automated Testing,150.78
586,97,Cosmetic,3/11/24,Surface,Critical,Automated Testing,503.25
587,68,Structural,2/3/24,Surface,Moderate,Manual Testing,576.57
588,40,Structural,2/26/24,Surface,Moderate,Visual Inspection,204.6
589,8,Structural,3/3/24,Internal,Moderate,Visual Inspection,410.72
590,90,Structural,2/17/24,Component,Minor,Manual Testing,50.38
591,90,Functional,2/9/24,Surface,Moderate,Manual Testing,400.31
592,7,Structural,6/1/24,Internal,Minor,Automated Testing,301.7
593,73,Functional,6/23/24,Surface,Moderate,Visual Inspection,64.74
594,96,Cosmetic,1/14/24,Surface,Moderate,Automated Testing,485.27
595,60,Cosmetic,6/21/24,Surface,Moderate,Automated Testing,194.44
596,74,Structural,6/16/24,Internal,Moderate,Automated Testing,891.01
597,26,Cosmetic,4/19/24,Internal,Critical,Automated Testing,267.51
598,50,Functional,6/8/24,Component,Critical,Automated Testing,151.43
599,36,Functional,4/20/24,Internal,Critical,Manual Testing,297.76
600,46,Cosmetic,4/21/24,Component,Critical,Manual Testing,663.35
601,46,Structural,4/24/24,Internal,Moderate,Visual Inspection,927.75
602,74,Cosmetic,2/10/24,Surface,Moderate,Visual Inspection,283.6
603,45,Structural,3/21/24,Surface,Moderate,Manual Testing,919.65
604,100,Functional,3/25/24,Surface,Critical,Visual Inspection,302.29
605,63,Functional,5/27/24,Surface,Moderate,Automated Testing,309.53
606,63,Structural,4/13/24,Surface,Minor,Manual Testing,478.6
607,75,Cosmetic,5/30/24,Component,Minor,Visual Inspection,419.58
608,5,Cosmetic,3/25/24,Surface,Minor,Automated Testing,685.3
609,5,Structural,5/6/24,Internal,Critical,Visual Inspection,390.64
610,81,Cosmetic,5/12/24,Internal,Minor,Manual Testing,837.9
611,80,Functional,1/20/24,Internal,Minor,Manual Testing,67.82
612,56,Structural,4/13/24,Internal,Minor,Manual Testing,21.12
613,68,Structural,1/8/24,Surface,Moderate,Visual Inspection,700.72
614,67,Cosmetic,1/18/24,Surface,Critical,Manual Testing,893.3
615,53,Cosmetic,3/2/24,Surface,Moderate,Automated Testing,736.75
616,81,Functional,3/9/24,Internal,Critical,Manual Testing,803.54
617,47,Functional,3/23/24,Internal,Moderate,Automated Testing,21.17
618,92,Functional,2/29/24,Component,Minor,Manual Testing,678.59
619,87,Functional,2/18/24,Component,Moderate,Automated Testing,220.01
620,51,Cosmetic,2/3/24,Internal,Critical,Manual Testing,251.67
621,61,Structural,4/10/24,Surface,Critical,Manual Testing,808.85
622,87,Structural,1/6/24,Internal,Minor,Manual Testing,537.35
623,8,Cosmetic,4/6/24,Component,Moderate,Manual Testing,178.3
624,56,Cosmetic,1/9/24,Internal,Critical,Visual Inspection,638.8
625,98,Functional,6/24/24,Internal,Critical,Automated Testing,770.66
626,7,Structural,4/19/24,Component,Minor,Visual Inspection,289.27
627,24,Structural,5/15/24,Component,Minor,Automated Testing,779.02
628,23,Structural,1/4/24,Surface,Moderate,Automated Testing,704.06
629,43,Functional,4/16/24,Internal,Critical,Visual Inspection,546.42
630,95,Functional,6/23/24,Component,Moderate,Visual Inspection,780.89
631,13,Cosmetic,5/3/24,Surface,Minor,Manual Testing,303.08
632,72,Structural,5/4/24,Internal,Minor,Automated Testing,557.57
633,28,Functional,1/28/24,Component,Minor,Manual Testing,222.11
634,94,Functional,5/23/24,Internal,Minor,Visual Inspection,575.47
635,60,Structural,6/14/24,Component,Minor,Automated Testing,478.44
636,17,Functional,2/5/24,Surface,Moderate,Visual Inspection,32.62
637,21,Functional,5/29/24,Component,Critical,Automated Testing,121.29
638,89,Cosmetic,4/7/24,Component,Moderate,Automated Testing,967.29
639,43,Cosmetic,1/17/24,Surface,Moderate,Visual Inspection,200.29
640,5,Cosmetic,6/21/24,Internal,Minor,Automated Testing,185
641,7,Functional,1/30/24,Internal,Moderate,Manual Testing,959.61
642,28,Structural,1/26/24,Component,Critical,Visual Inspection,170.66
643,27,Cosmetic,6/17/24,Component,Minor,Visual Inspection,563.94
644,58,Cosmetic,6/8/24,Internal,Minor,Automated Testing,52.03
645,33,Functional,6/7/24,Component,Critical,Automated Testing,474.62
646,20,Structural,1/14/24,Surface,Moderate,Visual Inspection,263.76
647,11,Cosmetic,5/3/24,Component,Moderate,Automated Testing,758.91
648,31,Cosmetic,1/9/24,Component,Critical,Visual Inspection,59.04
649,76,Cosmetic,1/11/24,Internal,Moderate,Visual Inspection,647.01
650,32,Cosmetic,5/21/24,Internal,Moderate,Manual Testing,451.58
651,34,Structural,2/9/24,Internal,Minor,Manual Testing,221.25
652,66,Cosmetic,4/19/24,Component,Critical,Manual Testing,194.9
653,62,Functional,2/29/24,Surface,Minor,Automated Testing,433.75
654,86,Cosmetic,6/19/24,Surface,Critical,Automated Testing,264.85
655,91,Cosmetic,3/16/24,Surface,Moderate,Automated Testing,230.68
656,63,Cosmetic,6/21/24,Surface,Minor,Visual Inspection,836.11
657,73,Structural,3/27/24,Surface,Critical,Manual Testing,703.94
658,94,Structural,6/9/24,Surface,Moderate,Visual Inspection,814.84
659,88,Structural,1/19/24,Component,Minor,Visual Inspection,153.25
660,12,Functional,3/28/24,Internal,Minor,Visual Inspection,324.09
661,48,Structural,2/6/24,Component,Moderate,Visual Inspection,436.9
662,35,Cosmetic,6/17/24,Surface,Minor,Manual Testing,917.26
663,25,Cosmetic,1/13/24,Component,Critical,Automated Testing,45.26
664,47,Functional,1/26/24,Surface,Critical,Visual Inspection,416.2
665,55,Functional,5/16/24,Component,Minor,Manual Testing,246.83
666,45,Structural,1/3/24,Component,Critical,Visual Inspection,824.28
667,12,Cosmetic,6/2/24,Surface,Minor,Visual Inspection,680.74
668,33,Structural,2/26/24,Surface,Critical,Automated Testing,376.62
669,3,Functional,1/10/24,Surface,Moderate,Manual Testing,400.79
670,15,Structural,2/19/24,Component,Critical,Visual Inspection,496.72
671,45,Structural,4/21/24,Component,Moderate,Manual Testing,369.13
672,16,Functional,5/19/24,Internal,Moderate,Automated Testing,916.45
673,63,Functional,5/1/24,Internal,Minor,Visual Inspection,152.08
674,63,Structural,1/6/24,Surface,Moderate,Visual Inspection,373.52
675,96,Cosmetic,5/12/24,Surface,Critical,Visual Inspection,345.64
676,4,Cosmetic,4/6/24,Internal,Critical,Visual Inspection,33.95
677,2,Structural,1/4/24,Component,Critical,Visual Inspection,478.44
678,19,Functional,3/20/24,Component,Critical,Manual Testing,884.03
679,61,Structural,1/23/24,Internal,Critical,Visual Inspection,113.64
680,5,Structural,1/19/24,Component,Moderate,Visual Inspection,479.38
681,8,Structural,1/16/24,Internal,Critical,Visual Inspection,395.56
682,6,Structural,1/13/24,Component,Moderate,Manual Testing,290.66
683,18,Cosmetic,2/25/24,Component,Minor,Visual Inspection,309.32
684,33,Structural,3/16/24,Component,Moderate,Manual Testing,28.05
685,40,Structural,6/24/24,Surface,Critical,Visual Inspection,37.69
686,35,Cosmetic,1/23/24,Internal,Critical,Automated Testing,293.44
687,99,Functional,3/16/24,Component,Minor,Visual Inspection,249.02
688,65,Structural,2/18/24,Surface,Minor,Manual Testing,327.88
689,56,Cosmetic,3/9/24,Surface,Critical,Manual Testing,749.31
690,96,Cosmetic,5/26/24,Component,Minor,Automated Testing,19.23
691,4,Functional,5/31/24,Internal,Critical,Manual Testing,470.43
692,67,Cosmetic,2/18/24,Component,Critical,Automated Testing,135.49
693,95,Structural,6/26/24,Component,Minor,Manual Testing,531.4
694,18,Cosmetic,2/16/24,Surface,Critical,Manual Testing,205.83
695,97,Cosmetic,4/20/24,Component,Moderate,Visual Inspection,547.02
696,84,Functional,1/6/24,Component,Moderate,Visual Inspection,459.29
697,51,Cosmetic,4/2/24,Surface,Critical,Manual Testing,762.32
698,34,Cosmetic,3/29/24,Component,Moderate,Visual Inspection,684.85
699,1,Cosmetic,4/4/24,Component,Critical,Automated Testing,940.9
700,41,Cosmetic,2/13/24,Surface,Minor,Manual Testing,894.66
701,67,Functional,3/30/24,Component,Minor,Manual Testing,10.44
702,43,Cosmetic,4/20/24,Component,Minor,Visual Inspection,878.23
703,34,Structural,1/31/24,Internal,Minor,Automated Testing,164.64
704,7,Structural,2/2/24,Internal,Critical,Visual Inspection,132.46
705,54,Functional,2/3/24,Internal,Moderate,Automated Testing,789.51
706,37,Functional,5/24/24,Component,Moderate,Visual Inspection,969.4
707,86,Functional,3/14/24,Surface,Critical,Automated Testing,667.18
708,22,Functional,4/9/24,Component,Minor,Manual Testing,781.35
709,79,Functional,3/10/24,Component,Minor,Automated Testing,711.6
710,4,Cosmetic,6/26/24,Surface,Moderate,Visual Inspection,91.9
711,36,Cosmetic,5/28/24,Internal,Minor,Manual Testing,767.74
712,74,Structural,3/30/24,Surface,Minor,Visual Inspection,535.88
713,36,Structural,2/29/24,Internal,Critical,Automated Testing,390.43
714,66,Cosmetic,6/4/24,Component,Minor,Visual Inspection,932.34
715,27,Functional,4/21/24,Surface,Moderate,Manual Testing,763.5
716,86,Structural,4/5/24,Surface,Minor,Visual Inspection,438.58
717,84,Cosmetic,1/1/24,Internal,Minor,Manual Testing,147.94
718,33,Cosmetic,3/11/24,Internal,Minor,Automated Testing,967.35
719,18,Cosmetic,4/4/24,Internal,Minor,Manual Testing,909.42
720,77,Functional,2/2/24,Internal,Moderate,Manual Testing,617.24
721,44,Cosmetic,4/26/24,Component,Moderate,Manual Testing,552
722,76,Structural,3/10/24,Internal,Minor,Manual Testing,746.64
723,25,Structural,1/27/24,Internal,Critical,Visual Inspection,133.43
724,58,Structural,2/21/24,Surface,Moderate,Manual Testing,437.82
725,15,Cosmetic,3/27/24,Surface,Minor,Visual Inspection,713.29
726,24,Cosmetic,2/25/24,Surface,Critical,Automated Testing,321.04
727,92,Functional,1/12/24,Surface,Minor,Automated Testing,988.41
728,5,Structural,1/10/24,Component,Critical,Manual Testing,164.56
729,74,Structural,2/28/24,Component,Moderate,Manual Testing,357.07
730,31,Structural,3/19/24,Surface,Minor,Automated Testing,189.23
731,37,Cosmetic,5/30/24,Component,Moderate,Manual Testing,840.24
732,44,Structural,2/21/24,Internal,Minor,Automated Testing,630.5
733,28,Functional,2/6/24,Surface,Moderate,Manual Testing,584.54
734,85,Functional,2/16/24,Surface,Moderate,Automated Testing,995.47
735,60,Structural,2/12/24,Surface,Critical,Manual Testing,894.31
736,63,Functional,1/21/24,Component,Minor,Automated Testing,420.57
737,46,Structural,4/14/24,Component,Moderate,Visual Inspection,71.86
738,81,Structural,5/4/24,Internal,Minor,Manual Testing,895.96
739,98,Cosmetic,2/4/24,Component,Moderate,Manual Testing,491.28
740,79,Functional,4/23/24,Internal,Moderate,Manual Testing,63.99
741,91,Cosmetic,4/6/24,Internal,Minor,Visual Inspection,409.99
742,51,Cosmetic,1/6/24,Internal,Critical,Automated Testing,391.78
743,27,Cosmetic,1/24/24,Internal,Minor,Manual Testing,921.78
744,30,Cosmetic,6/10/24,Component,Minor,Manual Testing,789.34
745,97,Cosmetic,5/8/24,Internal,Moderate,Visual Inspection,862.7
746,93,Structural,2/9/24,Component,Minor,Manual Testing,395.02
747,52,Cosmetic,3/3/24,Surface,Minor,Visual Inspection,507.39
748,41,Cosmetic,2/14/24,Internal,Moderate,Manual Testing,990.02
749,64,Functional,6/17/24,Component,Minor,Visual Inspection,466.97
750,9,Functional,3/23/24,Surface,Moderate,Manual Testing,49.52
751,42,Functional,1/14/24,Component,Minor,Manual Testing,543.93
752,81,Functional,5/12/24,Surface,Moderate,Automated Testing,688.91
753,83,Cosmetic,1/8/24,Surface,Critical,Visual Inspection,140.96
754,17,Structural,1/13/24,Component,Minor,Manual Testing,624.69
755,90,Cosmetic,1/1/24,Component,Critical,Manual Testing,317.5
756,77,Functional,6/12/24,Component,Minor,Manual Testing,363.84
757,40,Functional,3/17/24,Surface,Moderate,Manual Testing,472.15
758,12,Cosmetic,1/22/24,Internal,Moderate,Automated Testing,765.19
759,40,Cosmetic,3/23/24,Surface,Moderate,Manual Testing,551.79
760,31,Structural,6/22/24,Surface,Critical,Manual Testing,950.2
761,67,Functional,1/5/24,Component,Critical,Automated Testing,749.01
762,27,Cosmetic,2/15/24,Internal,Critical,Manual Testing,917.24
763,44,Cosmetic,4/24/24,Component,Minor,Automated Testing,527.76
764,40,Structural,4/26/24,Internal,Minor,Visual Inspection,615.24
765,70,Structural,4/26/24,Component,Minor,Visual Inspection,610.26
766,49,Cosmetic,4/6/24,Component,Moderate,Visual Inspection,305.36
767,81,Structural,3/23/24,Component,Minor,Automated Testing,753.7
768,48,Cosmetic,1/9/24,Internal,Moderate,Visual Inspection,67.49
769,83,Structural,6/26/24,Component,Minor,Visual Inspection,655.26
770,56,Structural,4/24/24,Surface,Moderate,Visual Inspection,119.28
771,97,Structural,1/13/24,Internal,Critical,Manual Testing,617.35
772,1,Cosmetic,6/11/24,Surface,Critical,Manual Testing,514.52
773,57,Functional,3/30/24,Component,Minor,Automated Testing,552.3
774,35,Structural,3/17/24,Surface,Critical,Manual Testing,957.27
775,22,Cosmetic,5/16/24,Surface,Minor,Visual Inspection,379.78
776,37,Structural,5/2/24,Surface,Minor,Automated Testing,20.93
777,59,Functional,5/31/24,Component,Moderate,Visual Inspection,698.16
778,31,Functional,1/16/24,Component,Critical,Manual Testing,270.7
779,71,Structural,3/24/24,Internal,Critical,Manual Testing,733.76
780,81,Functional,2/5/24,Surface,Minor,Manual Testing,918.81
781,10,Cosmetic,5/30/24,Component,Minor,Manual Testing,830.39
782,92,Functional,4/4/24,Internal,Moderate,Visual Inspection,429.08
783,73,Cosmetic,4/9/24,Internal,Moderate,Automated Testing,800.91
784,2,Functional,3/30/24,Surface,Moderate,Automated Testing,36.5
785,63,Cosmetic,4/7/24,Surface,Moderate,Visual Inspection,861.84
786,54,Cosmetic,6/24/24,Surface,Minor,Automated Testing,947.21
787,36,Functional,1/23/24,Surface,Minor,Manual Testing,37.44
788,41,Structural,1/25/24,Component,Critical,Automated Testing,571.65
789,54,Structural,1/21/24,Surface,Minor,Automated Testing,331.32
790,3,Structural,3/10/24,Internal,Critical,Manual Testing,212.4
791,94,Functional,4/15/24,Surface,Minor,Automated Testing,451.46
792,99,Functional,3/5/24,Internal,Minor,Manual Testing,948.05
793,79,Functional,5/7/24,Component,Moderate,Visual Inspection,111.39
794,81,Structural,3/21/24,Internal,Critical,Automated Testing,281.41
795,83,Structural,3/8/24,Internal,Minor,Automated Testing,866.14
796,83,Structural,5/8/24,Component,Minor,Visual Inspection,545.23
797,62,Cosmetic,6/9/24,Surface,Moderate,Visual Inspection,545.72
798,77,Functional,5/10/24,Component,Critical,Visual Inspection,395.56
799,87,Structural,6/8/24,Component,Moderate,Manual Testing,914.5
800,38,Cosmetic,5/30/24,Internal,Minor,Automated Testing,339.94
801,77,Cosmetic,3/18/24,Surface,Moderate,Visual Inspection,206.92
802,98,Functional,3/17/24,Component,Moderate,Visual Inspection,336.29
803,93,Structural,1/8/24,Internal,Critical,Visual Inspection,911.03
804,13,Structural,1/6/24,Surface,Minor,Visual Inspection,720.18
805,23,Functional,4/17/24,Surface,Moderate,Manual Testing,602.51
806,22,Functional,4/8/24,Internal,Critical,Manual Testing,996.6
807,99,Cosmetic,1/28/24,Surface,Minor,Automated Testing,373.64
808,99,Cosmetic,3/30/24,Component,Minor,Visual Inspection,792.57
809,8,Structural,3/19/24,Surface,Minor,Visual Inspection,956.44
810,77,Functional,6/30/24,Component,Critical,Manual Testing,916.1
811,7,Functional,5/15/24,Surface,Moderate,Visual Inspection,93.31
812,76,Structural,3/18/24,Internal,Critical,Automated Testing,576.28
813,93,Functional,5/6/24,Surface,Minor,Visual Inspection,89.52
